SKU,NAME,sell_price,division_id
ALK001,Liker Kruskovac 25% 1L Maraska/P6       ,7.44,10
ALK002,Liker Kruskovac 25%  0.7L Maraska/P6    ,6.922,10
ALK003,Liker bimor Pelinkovac 28% 1L Lagana/P6 ,7.805,10
ALK004,Liker bimor Pelinkovac 28% 1L Retro/P6  ,8.11,10
ALK005,Liker MARASCHINO 32% 1L Maraska/P6      ,10.14,10
ALK006,Liker prej mjalte Medica 24% 1L Marsk/P6,8.759,10
ALK007,Vodkë Cosmopolitan 37.5% 1L Maraska/P6  ,7.095,10
ALK008,Vodkë Cosmopolitan 37.5% 0.7L Marska/P6 ,5.451,10
ALK009,Raki Kumbulle Sljiovica 40% 1L Marask/P6,12.028,10
ALK010,Raki Kumbulle Sljiovica 40% 0.7L Mara/P6,9.44,10
ALK011,Pije alkool.Travarica 37.5% 1L Marka/P6 ,8.272,10
ALK012,Shurup frutash Amarena 1L Maraska/P6    ,2.994,10
ALK013,"Shurup Boronicë,mollë 1L Maraska/P6     ",2.923,10
ALK014,Shurup Portokalli 1L Maraska/P6         ,2.507,10
ALK015,Shirup vishnje Amarena Premium 0.75L/P6 ,5.836,10
ALK016,"Lëng Boronicë,rrush i zi,mollë 1L Marask",1.37,10
AMR001,Grissini Classico 125gr/P18             ,0.82,10
AMR002,Grissini Rosmarino 125gr/P18            ,0.82,10
AMR003,Grissini Pizza 125gr/P18                ,0.82,10
AMR004,Grissini Sesamo 125gr/P18               ,0.82,10
ANL001,Choco milk Pego  8gr (12x48)/P576       ,0.083,10
ANL002,Choco milk PegoMax  18gr (12x24)/P288   ,0.214,10
ANL003,Choco LEJTHI 220g/P12 LEXUS             ,2.416,10
ANL004,Choco LAJTHI  500g/P12 LEXUS            ,3.201,10
ANL005,Choco DREDHEZ 500g/P12 LEXUS            ,3.201,10
ANL006,Choco KOKOS 500g Lexus/P12              ,3.201,10
ANL007,Choco KAFE  500g/P12 LEXUS              ,3.201,10
ANL008,Choco QERSHI  500g/P12 LEXUS            ,3.201,10
ANL009,Choco PORTOKALL  500g/P12 LEXUS         ,3.201,10
ANL010,Kinder ve HEROS 25gr  /P24x6            ,0.206,10
ANL011,Kinder ve 25g SAFARI/P24x6              ,0.206,10
ANL012,Kinder ve 25g CRAZY FRUIT/P24x6         ,0.206,10
ANL013,Kinder ve 25g SPACE/P24x6               ,0.206,10
ANL014,Kinder ve 25gr MY CHICK /P24x6          ,0.206,10
ANL015,Kinder ve SUPER RACE 25gr P24x6         ,0.206,10
ANL016,Kinder top CHAMPION  30gr /P24x6        ,0.258,10
ANL017,Kinder top SUPER TRUTLES 34gr/P24x6     ,0.258,10
ANL018,Kinder top CRAZY GIRLS  30gr /P24x6     ,0.258,10
ANL019,Kinder ve 60g BUNDY/P24x3               ,0.52,10
ANL020,Kinder ve 60g DINOS/P24x3               ,0.52,10
ANL021,Kinder ve 60g BARBELLA/P24x3            ,0.52,10
ANL022,Kinder ve ICE TEAM 60gr /P24x3          ,0.52,10
ANL023,Kinder ve SAFARI 60gr /P24x3            ,0.52,10
ANL024,Kinder ve 60g Magic ALADIN/P24x3        ,0.52,10
ANL025,Choco LAJTHI 500g KUTI  /P12 LEXUS      ,3.201,10
ANL026,Kinder ve DINO EGGS  115gr(4x9)/P36     ,0.991,10
ANL028,Chocolate 18g MY CHICK /P36x10          ,0.109,10
ANL029,Chocolate 18g/20g RABBIX/P36x10         ,0.109,10
ANL030,Kinder ve 25g BARBELLA/P24x6            ,0.213,10
ANL031,Kinder ve  ANIMAL WORLD 25g /P24x6      ,0.214,10
ANL032,Kinder Ve 25g CARS/P24x6                ,0.214,10
ANL033,Kinder Ve 25g CHOCO STARS/P24x6         ,0.214,10
ANL034,Kinder Ve 25g PRINCESS/P24x6            ,0.214,10
ANL035,Kinder Ve 60g CHOCO STARS/P24x3         ,0.52,10
ANL036,Chocolate with PEANUT 500g(1x12) safari ,3.201,10
ANL037,Choco FIGUR 55g LADY BIRD/P12x6         ,0.547,10
ANL038,Choco PEANUT 2Kg/P6 DELUXE              ,10.067,10
ANL039,Choco PEANUT CREAM 500G/P12 LEXUS       ,3.201,10
ANL040,Choco PEANUT CREAM 500G/P12 DELUXE      ,3.201,10
ANL041,Choco LAJTHI 500g/P12 DELUXE            ,3.201,10
ANL042,Minicco Cornet Lajthi 25gr/P24x4        ,0.235,10
ANL044,Minicco Cornet Kikirik 25gr/P24x4       ,0.235,10
ANL045,Choco 15g Rabbix/P36x10                 ,0.083,10
ANL046,Choco 15g Lio/P36x10                    ,0.083,10
ANL047,Choco 15g Rex/P36x10                    ,0.083,10
ANL048,Choco 15g Lady Bird/P36x10              ,0.083,10
ANL049,Chocho Ball 15g/P36x10                  ,0.083,10
ANL050,Choco Lajthi 250g Lexus/P12             ,1.467,10
ANL051,Choko Peanut Crem 250g Lexus/P12        ,1.467,10
ANL052,Lexus Krem Lajthie 150gr/P12            ,1.492,10
ANL053,LEXUS LOVE Hazelnut 110g/P24            ,0.985,10
ANL054,LEXUS 150gr Coffee/P12                  ,1.492,10
ANL055,LEXUS 150gr Peanut/P12                  ,1.492,10
ANL056,Kinder top 30g SUPER TURTLES/P24x6      ,0.236,10
ANL057,Kinder Ve Peanut&Hazelnut 25gr Safar    ,0.2,10
ANL058,Kinder Ve Peanut&Hazelnut 25gr Princ    ,0.2,10
BAL001,Balocco Biskota Pasterfrolle 12/350g    ,1.73,10
BAL002,Balocco Biskota Ciambelle 12/350g       ,1.73,10
BAL003,Balocco Biskota Bastoncini 12/350g      ,1.73,10
BAL004,Balocco Biskota Zuppole 12/350g         ,1.73,10
BAL005,Biskota Balocco(012) Mondine 350g/P12   ,1.105,10
BAL006,Balocco Biskota Girandole 12/350g       ,2.51,10
BAL007,Balocco Biskota Gocciolloti 12/350g     ,2.51,10
BAL008,Balocco Biskota Facine 12/350g          ,2.51,10
BAL009,Biskota Balocco Facine 700g/P12         ,3.149,10
BAL010,Biskota Balocco Girandole 700g/P12      ,3.149,10
BAL011,Biskota Balocco Gocciollotti 700g/P12   ,3.149,10
BAL012,"Biskota Balocco Vita Mia, pa sheqer 325g",1.99,10
BAL013,Balocco Biskota Zero me Drithera pa sheq,2.04,10
BAL014,Balocco Biskota Zero me Çokollate pa she,2.04,10
BAL015,Balocco Balo Cruschelle me Fibra 12/350g,1.73,10
BAL016,Biskota Bal(043)Crch.me drithera 300/P12,1.115,10
BAL017,Biskota Bal(044)Crch.me drithera 300/P12,1.363,10
BAL018,Biskota Bal(045)Crch.me drithera 275/P12,1.652,10
BAL019,Biskota Vita Mia 290g/P10               ,1.73,10
BAL020,Biskota Girandole 350g/P12              ,1.754,10
BAL021,Balocco Biskota Novellini 10/350g       ,1.73,10
BAL022,Biskota Breakfast me çokollatë dhe qumës,1.36,10
BAL023,"Biskota Breakfast me drithëra, Balocco 3",1.73,10
BAL024,Biskota Breakfast me drithëra dhe çokoll,1.73,10
BAL025,"Biskota Breakfast me drithëra dhe fruta,",1.73,10
BAL026,Biskota Breakfast me oriz dhe fruta të k,1.73,10
BAL027,"Napolitankë kubëza me kakao, Balocco 250",1.48,10
BAL028,"Napolitankë kubëza me lajthi, Balocco 25",1.675,10
BAL029,"Napolitankë kubëza me qumësht vanile, Ba",1.48,10
BAL030,"Savoiardi, Balocco 200gr/P15            ",1.15,10
BAL031,"Sfogliatine e sheqerosur, Balocco 200gr/",1.2,10
BAL032,"Sfogliatine Glazed, Balocco 200gr/P15   ",1.2,10
BAL033,Biskota Balocco Cruschelle me fibra 700g,1.9,10
BAL034,"Panettone, BALOCCO 750g/P12             ",5.35,10
BAL035,"Pandoro, BALOCCO 750g/P12               ",5.99,10
BAL036,Balocco Panettone Classico 12/750g      ,6.74,10
BAL037,Balocco Panettone Pandoro 12/750g       ,8.05,10
BAL038,Balocco Panettone Gocce 32/100g         ,1.9,10
BAL039,Balocco - Mini Pannetone Tin Box 30/80g ,3.99,10
BAL040,Balocco - Pannetone Gocciolotto 12/500g ,5.9,10
BAL041,Balocco - Zuppa Inglese 12/650g         ,7.2,10
BAL042,Balocco - Panna Cotta 12/650g           ,7.2,10
BAL043,Balocco - Pand. Pistacchio&Nocci 12/800G,9.5,10
BAL044,Balocco - Pandoro Lemondoro 12/800g     ,9.5,10
BAL045,Balocco Biskota Risofrolle 12/350g      ,2.51,10
BAL046,Balocco Biskota Saracene 12/350g        ,2.51,10
BAL047,Balocco - Pandoro Star Gocce 32/80gr    ,1.9,10
BAL048,Balocco - Torta Fiesta Festek 18/400gr  ,4.69,10
BAL049,Balocco - Tora Fiesta Lemon 18/400gr    ,4.69,10
BAL050,Balocco Tortino 12/650gr                ,7.39,10
BAL051,Balocco Tiramisu 12/650gr               ,7.39,10
BAL052,Balocco Maxiciok Caramel 12/800gr       ,9.59,10
BAL053,Balocco - Pandoro Cookie 12/800         ,9.59,10
BAL054,Balocco - Pandoro Ciocco Lampone 12/800g,9.59,10
BAL055,Balocco - Pandoro Classic Basso 8/750gr ,11.2,10
BAR001,Baronie Alpia Çokollate me Qumesht Alpin,1.1,10
BAR002,Baronie Alpia Çokollate Qumesht Alpin&La,1.22,10
